B048	American Type Culture Collection A3O6 Barnett Data Systems	1
B049	The Baron Companies Inc	1
B050	Baron Consulting Co	1
B051	Barrett & Associates, Inc	1
B052	Leon J Barrett Co Barrett Centrifugals, Inc	1
B053	Barrett Electronics Systems Corporation	1
B054	Barry & Company	1
B055	R G Barry Corp	1
B056	Simmons J Barry & Assoc, Inc	1
B057	Barry-Wehmiller Company	1
B058	Bartell Associates, Inc	1
B059	Barth Electronics, Inc	1
B060	Harland Bartholomew and Associates	1
B061	The F A Bartlett Tree Expert Co	1
B062	BASF Wyandotte Coporation	1
B063	Basic Resources Corporation	1
B064	Basic Technology, Inc	1
B065	Basic Vegetable Products, Inc	1
B066	Baskam and Jurczyk, PC	1
B067	Basler Electric Co	1
B068	Bath Electrical Systems, Inc	1
B069	Battelle Memorial Institute	1
B070	The O A Battista Research Institute	1
B071	Mark Battle Associates, Inc	1
B072	Batus, Inc	1
B073	D Baugh & Associates, Inc	1
B074	Bausch & Lomb Incorporated	1
B075	Baxter Travenol Laboratories, Inc	1
B076	Avtron Manufacturing, Inc A58O Bay Laboratories, Inc	1
B077	Bay Precision, Inc	1
B078	Bay shore Systems Corporation	1
B079	Igor Bazovsky & Associates, Inc	1
B080	LACONIA • BCI-Geonetics, Inc	1
B081	Beach-Russ Company	1
B082	Morris Bean and Company	1
B083	Bearfoot Corporation	1
B084	Beatrice Foods Co	1
B085	Becht Engineering Company	1
B086	Beck Chemicals Inc	1
B087	Becker Instruments & Photographic Optics Incorporated	1
B088	Beckman Instruments, Inc	1
B089	Mark Beck Associates Inc	1
B090	Beco Engineering Company	1
B091	Beco, Inc	1
B092	Bee Pressure Controls Corp	1
B093	Becton, Dickinson & Co	1
B094	Bedford Computer Systems, Inc	1
B095	Bedford Research Associates	1
B096	Bedrosian and Associates	1
B097	Beecham Inc	1
B098	Beech-Nut Foods, Inc	1
B099	Beehive Machinery, Inc	3
B102	Behavior Associates	1
B103	Behavior Research C^ter, Inc	1
B104	Behavior Sciences Education Center	1
B105	J L Behmer Corporation	1
B106	Bei Electronics, Inc	1
B107	Leo Beiser Inc	2
B109	Belden Associates	2
B111	Bell & Howell Company	3
B114	Beloit Corporation	6
B120	Benco Pet Foods, Inc	1
B121	The Bendix Corporation	0
B121	The Bendix Corporation, Research Division	0
B121	The Bendix Corporation, Fram Europe Ltd	1
B122	Bend Research, Inc	1
B123	Benedum Instrument Co	1
B124	Alfred Benesch & Company	1
B125	The Benham'Group, Inc	1
B126	Bennett Pump Company	1
B127	Bensen Aircraft Corp	1
B128	Benthos, Inc	1
B129	Bently Nevada Corp	1
B130	Benton Corporation	1
B131	Ben Venue Laboratories, Inc	1
B132	Berco Industries Corp	1
B133	Berkeley Custom Electronics	1
B134	Berkeley Industries, Inc	1
B135	Berkeley Planning Associates	1
B136	Berkeley Scientific Technology	1
B137	Berkley & Co, Inc	1
B138	Berkshire Hathaway Inc	1
B139	Ber-Tek, Inc	0
B139	Berk-Tek, Inc	1
B140	Bernard Food Industries Inc	1
B141	Bernheim, Kahn & Lozano, Architects, Ltd	2
B143	W F Berry Associates, Inc	1
B144	Besier, Gibble & Quirin. Consulting Engineers, Inc	1
B145	Besser Co	1
B146	Beta Industries, Inc	1
B147	The Bethlehem Corporation	1
B148	Bethlehem Steel Corporation	1
B149	The Better Meat Products Company	1
B150	Bettina Creations, Inc	1
B151	Betz-Converse-Murdoch Inc, J B Converse	0
